date,day,year,day_of_the_week,rides
2019-06-01,152,2019,Sat,1350
2019-06-02,153,2019,Sun,1109
2019-06-03,154,2019,Mon,1371
2019-06-04,155,2019,Tue,1604
2019-06-05,156,2019,Wed,1413
2019-06-06,157,2019,Thu,1481
2019-06-07,158,2019,Fri,1547
2019-06-08,159,2019,Sat,1209
2019-06-09,160,2019,Sun,1338
2019-06-10,161,2019,Mon,862
2019-06-11,162,2019,Tue,1468
2019-06-12,163,2019,Wed,1569
2019-06-13,164,2019,Thu,859
2019-06-14,165,2019,Fri,1533
2019-06-15,166,2019,Sat,1200
2019-06-16,167,2019,Sun,1010
2019-06-17,168,2019,Mon,1481
2019-06-18,169,2019,Tue,774
2019-06-19,170,2019,Wed,1238
2019-06-20,171,2019,Thu,1198
2019-06-21,172,2019,Fri,1189
2019-06-22,173,2019,Sat,1384
2019-06-23,174,2019,Sun,1263
2019-06-24,175,2019,Mon,1506
2019-06-25,176,2019,Tue,1306
2019-06-26,177,2019,Wed,1495
2019-06-27,178,2019,Thu,1509
2019-06-28,179,2019,Fri,1629
2019-06-29,180,2019,Sat,1225
2019-06-30,181,2019,Sun,1310
2019-07-01,182,2019,Mon,1552
2019-07-02,183,2019,Tue,1622
2019-07-03,184,2019,Wed,1605
2019-07-04,185,2019,Thu,1284
2019-07-05,186,2019,Fri,1120
2019-07-06,187,2019,Sat,904
2019-07-07,188,2019,Sun,1099
2019-07-08,189,2019,Mon,1333
2019-07-09,190,2019,Tue,1630
2019-07-10,191,2019,Wed,1672
2019-07-11,192,2019,Thu,1088
2019-07-12,193,2019,Fri,1700
2019-07-13,194,2019,Sat,1366
2019-07-14,195,2019,Sun,1244
2019-07-15,196,2019,Mon,1576
2019-07-16,197,2019,Tue,1740
2019-07-17,198,2019,Wed,1438
2019-07-18,199,2019,Thu,1242
2019-07-19,200,2019,Fri,1669
2019-07-20,201,2019,Sat,942
2019-07-21,202,2019,Sun,962
2019-07-22,203,2019,Mon,1182
2019-07-23,204,2019,Tue,1352
2019-07-24,205,2019,Wed,1703
2019-07-25,206,2019,Thu,1758
2019-07-26,207,2019,Fri,1687
2019-07-27,208,2019,Sat,1341
2019-07-28,209,2019,Sun,1195
2019-07-29,210,2019,Mon,1605
2019-07-30,211,2019,Tue,1672
2019-07-31,212,2019,Wed,1463
2019-08-01,213,2019,Thu,1823
2019-08-02,214,2019,Fri,1789
2019-08-03,215,2019,Sat,1459
2019-08-04,216,2019,Sun,1200
2019-08-05,217,2019,Mon,1725
2019-08-06,218,2019,Tue,1753
2019-08-07,219,2019,Wed,1195
2019-08-08,220,2019,Thu,1725
2019-08-09,221,2019,Fri,1681
2019-08-10,222,2019,Sat,1455
2019-08-11,223,2019,Sun,1343
2019-08-12,224,2019,Mon,1729
2019-08-13,225,2019,Tue,1617
2019-08-14,226,2019,Wed,1705
2019-08-15,227,2019,Thu,1762
2019-08-16,228,2019,Fri,1821
2019-08-17,229,2019,Sat,1299
2019-08-18,230,2019,Sun,1095
2019-08-19,231,2019,Mon,1565
2019-08-20,232,2019,Tue,1784
2019-08-21,233,2019,Wed,1617
2019-08-22,234,2019,Thu,1616
2019-08-23,235,2019,Fri,1459
2019-08-24,236,2019,Sat,1483
2019-08-25,237,2019,Sun,1361
2019-08-26,238,2019,Mon,1606
2019-08-27,239,2019,Tue,1702
2019-08-28,240,2019,Wed,1593
2019-08-29,241,2019,Thu,1818
2019-08-30,242,2019,Fri,1696
2019-08-31,243,2019,Sat,1235
2020-06-01,152,2020,Mon,842
2020-06-02,153,2020,Tue,864
2020-06-03,154,2020,Wed,715
2020-06-04,155,2020,Thu,988
2020-06-05,156,2020,Fri,637
2020-06-06,157,2020,Sat,1689
2020-06-07,158,2020,Sun,1816
2020-06-08,159,2020,Mon,1131
2020-06-09,160,2020,Tue,1155
2020-06-10,161,2020,Wed,1153
2020-06-11,162,2020,Thu,800
2020-06-12,163,2020,Fri,1280
2020-06-13,164,2020,Sat,1808
2020-06-14,165,2020,Sun,1530
2020-06-15,166,2020,Mon,1082
2020-06-16,167,2020,Tue,1163
2020-06-17,168,2020,Wed,1230
2020-06-18,169,2020,Thu,1092
2020-06-19,170,2020,Fri,1302
2020-06-20,171,2020,Sat,1650
2020-06-21,172,2020,Sun,1635
2020-06-22,173,2020,Mon,1103
2020-06-23,174,2020,Tue,1299
2020-06-24,175,2020,Wed,1202
2020-06-25,176,2020,Thu,1220
2020-06-26,177,2020,Fri,1427
2020-06-27,178,2020,Sat,1367
2020-06-28,179,2020,Sun,1386
2020-06-29,180,2020,Mon,1216
2020-06-30,181,2020,Tue,1139
2020-07-01,182,2020,Wed,1026
2020-07-02,183,2020,Thu,1375
2020-07-03,184,2020,Fri,1184
2020-07-04,185,2020,Sat,1474
2020-07-05,186,2020,Sun,1267
2020-07-06,187,2020,Mon,846
2020-07-07,188,2020,Tue,1211
2020-07-08,189,2020,Wed,1066
2020-07-09,190,2020,Thu,1423
2020-07-10,191,2020,Fri,451
2020-07-11,192,2020,Sat,1326
2020-07-12,193,2020,Sun,1671
2020-07-13,194,2020,Mon,1303
2020-07-14,195,2020,Tue,1362
2020-07-15,196,2020,Wed,1379
2020-07-16,197,2020,Thu,1491
2020-07-17,198,2020,Fri,1310
2020-07-18,199,2020,Sat,1525
2020-07-19,200,2020,Sun,1273
2020-07-20,201,2020,Mon,1074
2020-07-21,202,2020,Tue,1311
2020-07-22,203,2020,Wed,793
2020-07-23,204,2020,Thu,1147
2020-07-24,205,2020,Fri,1189
2020-07-25,206,2020,Sat,1683
2020-07-26,207,2020,Sun,1305
2020-07-27,208,2020,Mon,1167
2020-07-28,209,2020,Tue,1277
2020-07-29,210,2020,Wed,1326
2020-07-30,211,2020,Thu,1186
2020-07-31,212,2020,Fri,1259
2020-08-01,213,2020,Sat,1831
2020-08-02,214,2020,Sun,1532
2020-08-03,215,2020,Mon,1254
2020-08-04,216,2020,Tue,855
2020-08-05,217,2020,Wed,1455
2020-08-06,218,2020,Thu,1377
2020-08-07,219,2020,Fri,994
2020-08-08,220,2020,Sat,1783
2020-08-09,221,2020,Sun,1536
2020-08-10,222,2020,Mon,1297
2020-08-11,223,2020,Tue,1376
2020-08-12,224,2020,Wed,1375
2020-08-13,225,2020,Thu,1199
2020-08-14,226,2020,Fri,1621
2020-08-15,227,2020,Sat,2002
2020-08-16,228,2020,Sun,827
2020-08-17,229,2020,Mon,1268
2020-08-18,230,2020,Tue,1431
2020-08-19,231,2020,Wed,1270
2020-08-20,232,2020,Thu,1319
2020-08-21,233,2020,Fri,1529
2020-08-22,234,2020,Sat,1689
2020-08-23,235,2020,Sun,1571
2020-08-24,236,2020,Mon,1258
2020-08-25,237,2020,Tue,1205
2020-08-26,238,2020,Wed,1566
2020-08-27,239,2020,Thu,1115
2020-08-28,240,2020,Fri,1236
2020-08-29,241,2020,Sat,1544
2020-08-30,242,2020,Sun,1709
2020-08-31,243,2020,Mon,1243
