Turnips,Time,Price
Turnips 1,Mon AM,96
Turnips 2,Mon AM,72
Turnips 3,Mon AM,83
Turnips 4,Mon AM,67
Turnips 5,Mon AM,85
Turnips 6,Mon AM,84
Turnips 7,Mon AM,64
Turnips 8,Mon AM,55
Turnips 9,Mon AM,79
Turnips 10,Mon AM,85
Turnips 11,Mon AM,91
Turnips 12,Mon AM,81
Turnips 13,Mon AM,79
Turnips 14,Mon AM,70
Turnips 15,Mon AM,89
Turnips 1,Mon PM,122
Turnips 2,Mon PM,65
Turnips 3,Mon PM,79
Turnips 4,Mon PM,51
Turnips 5,Mon PM,80
Turnips 6,Mon PM,87
Turnips 7,Mon PM,63
Turnips 8,Mon PM,39
Turnips 9,Mon PM,75
Turnips 10,Mon PM,78
Turnips 11,Mon PM,85
Turnips 12,Mon PM,76
Turnips 13,Mon PM,68
Turnips 14,Mon PM,66
Turnips 15,Mon PM,81
Turnips 1,Tues AM,115
Turnips 2,Tues AM,133
Turnips 3,Tues AM,76
Turnips 4,Tues AM,131
Turnips 5,Tues AM,76
Turnips 6,Tues AM,75
Turnips 7,Tues AM,116
Turnips 8,Tues AM,121
Turnips 9,Tues AM,72
Turnips 10,Tues AM,147
Turnips 11,Tues AM,84
Turnips 12,Tues AM,111
Turnips 13,Tues AM,61
Turnips 14,Tues AM,90
Turnips 15,Tues AM,78
Turnips 1,Tues PM,66
Turnips 2,Tues PM,142
Turnips 3,Tues PM,72
Turnips 4,Tues PM,129
Turnips 5,Tues PM,133
Turnips 6,Tues PM,70
Turnips 7,Tues PM,104
Turnips 8,Tues PM,137
Turnips 9,Tues PM,69
Turnips 10,Tues PM,149
Turnips 11,Tues PM,80
Turnips 12,Tues PM,178
Turnips 13,Tues PM,109
Turnips 14,Tues PM,104
Turnips 15,Tues PM,105
Turnips 1,Wed AM,69
Turnips 2,Wed AM,150
Turnips 3,Wed AM,69
Turnips 4,Wed AM,132
Turnips 5,Wed AM,138
Turnips 6,Wed AM,64
Turnips 7,Wed AM,118
Turnips 8,Wed AM,159
Turnips 9,Wed AM,65
Turnips 10,Wed AM,150
Turnips 11,Wed AM,73
Turnips 12,Wed AM,545
Turnips 13,Wed AM,120
Turnips 14,Wed AM,139
Turnips 15,Wed AM,198
Turnips 1,Wed PM,91
Turnips 2,Wed PM,139
Turnips 3,Wed PM,107
Turnips 4,Wed PM,88
Turnips 5,Wed PM,174
Turnips 6,Wed PM,128
Turnips 7,Wed PM,128
Turnips 8,Wed PM,197
Turnips 9,Wed PM,60
Turnips 10,Wed PM,99
Turnips 11,Wed PM,68
Turnips 12,Wed PM,137
Turnips 13,Wed PM,166
Turnips 14,Wed PM,185
Turnips 15,Wed PM,603
Turnips 1,Thur AM,113
Turnips 2,Thur AM,100
Turnips 3,Thur AM,159
Turnips 4,Thur AM,91
Turnips 5,Thur AM,208
Turnips 6,Thur AM,179
Turnips 7,Thur AM,137
Turnips 8,Thur AM,176
Turnips 9,Thur AM,58
Turnips 10,Thur AM,106
Turnips 11,Thur AM,62
Turnips 12,Thur AM,89
Turnips 13,Thur AM,189
Turnips 14,Thur AM,151
Turnips 15,Thur AM,149
Turnips 1,Thur PM,120
Turnips 2,Thur PM,108
Turnips 3,Thur PM,511
Turnips 4,Thur PM,86
Turnips 5,Thur PM,201
Turnips 6,Thur PM,561
Turnips 7,Thur PM,122
Turnips 8,Thur PM,54
Turnips 9,Thur PM,51
Turnips 10,Thur PM,111
Turnips 11,Thur PM,55
Turnips 12,Thur PM,77
Turnips 13,Thur PM,186
Turnips 14,Thur PM,78
Turnips 15,Thur PM,101
Turnips 1,Fri AM,129
Turnips 2,Fri AM,117
Turnips 3,Fri AM,50
Turnips 4,Fri AM,110
Turnips 5,Fri AM,90
Turnips 6,Fri AM,149
Turnips 7,Fri AM,97
Turnips 8,Fri AM,47
Turnips 9,Fri AM,49
Turnips 10,Fri AM,126
Turnips 11,Fri AM,43
Turnips 12,Fri AM,52
Turnips 13,Fri AM,79
Turnips 14,Fri AM,63
Turnips 15,Fri AM,71
Turnips 1,Fri PM,71
Turnips 2,Fri PM,77
Turnips 3,Fri PM,106
Turnips 4,Fri PM,72
Turnips 5,Fri PM,44
Turnips 6,Fri PM,112
Turnips 7,Fri PM,74
Turnips 8,Fri PM,49
Turnips 9,Fri PM,43
Turnips 10,Fri PM,83
Turnips 11,Fri PM,42
Turnips 12,Fri PM,55
Turnips 13,Fri PM,71
Turnips 14,Fri PM,29
Turnips 15,Fri PM,65
Turnips 1,Sat AM,51
Turnips 2,Sat AM,55
Turnips 3,Sat AM,67
Turnips 4,Sat AM,49
Turnips 5,Sat AM,36
Turnips 6,Sat AM,41
Turnips 7,Sat AM,59
Turnips 8,Sat AM,67
Turnips 9,Sat AM,38
Turnips 10,Sat AM,59
Turnips 11,Sat AM,38
Turnips 12,Sat AM,49
Turnips 13,Sat AM,46
Turnips 14,Sat AM,31
Turnips 15,Sat AM,52
Turnips 1,Sat PM,57
Turnips 2,Sat PM,61
Turnips 3,Sat PM,62
Turnips 4,Sat PM,39
Turnips 5,Sat PM,32
Turnips 6,Sat PM,49
Turnips 7,Sat PM,69
Turnips 8,Sat PM,38
Turnips 9,Sat PM,32
Turnips 10,Sat PM,61
Turnips 11,Sat PM,34
Turnips 12,Sat PM,47
Turnips 13,Sat PM,41
Turnips 14,Sat PM,25
Turnips 15,Sat PM,58
