DIAMETER,HEIGHT,Difference,,,
18.9,20,-1.1,,Mean of diameter,18.19722222
15.5,16.8,-1.3,,Mean of height,17.90833333
19.4,20.2,-0.8,,Std dev of diameter,4.752351966
20,20,0,,Std dev of height,2.823106192
29.8,20.2,9.6,,Mean of difference ,0.288888889
19.8,18,1.8,,Std dev of difference,2.967613546
20.3,17.8,2.5,,Count,36
20,19.2,0.8,,Formula,1.647080926
22,22.3,-0.3,,CI Upper bound,1.935969815
23.6,18.9,4.7,,CI Lower bownd,-1.358192037
14.8,13.3,1.5,,"CI=(1.72, -1.14)",
22.7,20.6,2.1,,R,0.810502703
18.5,19,-0.5,,R2,0.656914631
21.5,19.2,2.3,,,
14.8,16.1,-1.3,,,
17.7,19.9,-2.2,,,
21,20.4,0.6,,,
15.9,17.6,-1.7,,,
16.6,18.8,-2.2,,,
15.5,16.9,-1.4,,,
13.7,16.3,-2.6,,,
27.5,21.4,6.1,,,
20.3,19.2,1.1,,,
22.9,19.8,3.1,,,
14.1,18.5,-4.4,,,
10.1,12.1,-2,,,
5.8,8,-2.2,,,
20.7,17.4,3.3,,,
17.8,18.4,-0.6,,,
11.4,17.3,-5.9,,,
14.4,16.6,-2.2,,,
13.4,12.9,0.5,,,
17.8,17.5,0.3,,,
20.7,19.4,1.3,,,
13.3,15.5,-2.2,,,
22.9,19.2,3.7,,,
